geneName,log2FoldChange,padj,RNEA_geneName,sig,centralNode,DE,TF,filteredNetwork,geneNameShort,filteredNetwork_nosep
NCAM1.1,2.2738828484870774,2.4665988981649913e-15,NCAM1,TRUE,FALSE,upregulated,FALSE,TRUE,NCAM1,TRUE
NCF1,-0.8166440960193784,5.952537003872196e-10,NCF1,TRUE,FALSE,downregulated,FALSE,FALSE,NCF1,FALSE
NELL1,1.6936102661670103,3.8253393939491624e-5,NELL1,TRUE,FALSE,upregulated,FALSE,FALSE,NELL1,FALSE
NFIL3,1.344180567968881,1.2619792088002572e-18,NFIL3,TRUE,FALSE,upregulated,TRUE,FALSE,NFIL3,FALSE
NFKB1,0.005063305936798914,0.9781465447647985,NFKB1,FALSE,FALSE,RNEA_addition,TRUE,TRUE,NFKB1,FALSE
NFYA,0.029149333785313623,0.8660671780143958,NFYA,FALSE,FALSE,RNEA_addition,TRUE,FALSE,NFYA,FALSE
NFYB,-0.0043268128576906826,3.082436917538072e-5,NFYB,FALSE,FALSE,RNEA_addition,FALSE,FALSE,NFYB,FALSE
NFYC,0.07134299835195411,0.28258918748648265,NFYC,FALSE,FALSE,RNEA_addition,FALSE,FALSE,NFYC,FALSE
NKD1,1.2365323857209025,1.8762682408029858e-9,NKD1,TRUE,FALSE,upregulated,FALSE,FALSE,NKD1,FALSE
NOS1,-1.3142051922694422,2.5617372404887678e-27,NOS1,TRUE,FALSE,downregulated,FALSE,TRUE,NOS1,FALSE
NOTUM,1.1305288839505423,8.326374876733453e-17,NOTUM,TRUE,FALSE,upregulated,FALSE,FALSE,NOTUM,FALSE
NPDC1,-1.039236354293261,1.7209480483707758e-49,NPDC1,TRUE,FALSE,downregulated,FALSE,FALSE,NPDC1,FALSE
NPNT,0.8298835865710401,8.250434962137588e-12,NPNT,TRUE,FALSE,upregulated,FALSE,FALSE,NPNT,FALSE
NPNT.1,0.8126882838497904,1.844673459798706e-21,NPNT,TRUE,FALSE,upregulated,FALSE,FALSE,NPNT,FALSE
NR0B1,3.8277796900542578,2.4162098744671675e-07,NR0B1,TRUE,FALSE,upregulated,FALSE,TRUE,NR0B1,FALSE
NRCAM,0.9973285393325484,4.13317960762688e-4,NRCAM,TRUE,FALSE,upregulated,FALSE,TRUE,NRCAM,TRUE
OCLN.2,-0.8873428353113324,6.236394391581051e-34,OCLN,TRUE,FALSE,downregulated,FALSE,FALSE,OCLN,FALSE
OLFM4.1,-1.0568170965224968,4.2176732990537755e-31,OLFM4,TRUE,FALSE,downregulated,FALSE,FALSE,OLFM4,FALSE
OVOL1.1,-0.8770730021272405,1.5290656965430586e-18,OVOL1,TRUE,FALSE,downregulated,FALSE,FALSE,OVOL1,FALSE
PAX3,-1.7022587416260047,0.8443405827746823,PAX3,FALSE,FALSE,RNEA_addition,FALSE,TRUE,PAX3,TRUE
PDE9A,2.707365820191564,4.7943829931494257e-4,PDE9A,TRUE,FALSE,upregulated,FALSE,FALSE,PDE9A,FALSE
PDGFA.1,0.9611582598918516,2.308300597258884e-22,PDGFA,TRUE,FALSE,upregulated,FALSE,TRUE,PDGFA,FALSE
PDGFB,1.3518894002006219,2.8174693720686878e-5,PDGFB,TRUE,FALSE,upregulated,FALSE,FALSE,PDGFB,FALSE
PEG3,-1.3999756798608485,1.8323513321753692e-35,PEG3,TRUE,FALSE,downregulated,FALSE,FALSE,PEG3,FALSE
PIR,-0.8465922997766173,2.2807877139975033e-6,PIR,TRUE,FALSE,downregulated,FALSE,FALSE,PIR,FALSE
PITX1,0.7787665447815428,1.7524362480278505e-34,PITX1,TRUE,TRUE,upregulated,FALSE,TRUE,PITX1,TRUE
PITX2,1.1452267854030038,1.9764506787941195e-98,PITX2,TRUE,TRUE,upregulated,FALSE,TRUE,PITX2,TRUE
PLTP,1.9197782795674299,2.9483272597918528e-15,PLTP,TRUE,FALSE,upregulated,FALSE,FALSE,PLTP,FALSE
PML,-0.30466829758736447,0.006557801337823936,PML,FALSE,FALSE,RNEA_addition,FALSE,FALSE,PML,FALSE
PMP22,1.1327168627503543,8.629488432860836e-9,PMP22,TRUE,FALSE,upregulated,FALSE,TRUE,PMP22,FALSE
PODXL,1.4336450601622506,3.7991506154395134e-4,PODXL,TRUE,FALSE,upregulated,FALSE,FALSE,PODXL,FALSE
PPARG,-0.5061512594619993,0.11563618345696308,PPARG,FALSE,FALSE,RNEA_addition,TRUE,TRUE,PPARG,FALSE
PRDM8.1,-0.915958371806593,1.243205319171155e-9,PRDM8,TRUE,FALSE,downregulated,FALSE,FALSE,PRDM8,FALSE
PRSS8,-1.1678581130323082,4.0217293493679214e-32,PRSS8,TRUE,FALSE,downregulated,FALSE,FALSE,PRSS8,FALSE
PSIP1,0.8326564688890632,1.3977525429233957e-17,PSIP1,TRUE,FALSE,upregulated,FALSE,FALSE,PSIP1,FALSE
